id_x,timestamp_coleta_x,id_onibus,letreiro_linha,latitude,longitude,timestamp_posicao,id_y,timestamp_coleta_y,id_linha,id_parada,horario_previsao
367923,2025-08-15 09:01:02.828951,45743,3069-10,-23.606299749999998,-46.41697025,2025-08-15T12:00:47Z,,,,,
367924,2025-08-15 09:01:02.828951,45567,3069-10,-23.621173,-46.4663065,2025-08-15T12:00:27Z,,,,,
367925,2025-08-15 09:01:02.828951,45738,3069-10,-23.621539249999998,-46.43627375,2025-08-15T12:00:16Z,,,,,
367926,2025-08-15 09:01:02.828951,81240,7903-10,-23.5448285,-46.6433995,2025-08-15T12:00:16Z,,,,,
367927,2025-08-15 09:01:02.828951,81245,7903-10,-23.5477705,-46.641587,2025-08-15T12:00:19Z,,,,,
367928,2025-08-15 09:01:02.828951,11114,209P-1,-23.54336425,-46.67660725,2025-08-15T12:00:49Z,,,,,
367929,2025-08-15 09:01:02.828951,11113,209P-1,-23.472319999999996,-46.6704065,2025-08-15T12:00:30Z,,,,,
367930,2025-08-15 09:01:02.828951,11095,209P-1,-23.48422625,-46.679944500000005,2025-08-15T12:00:45Z,,,,,
367931,2025-08-15 09:01:02.828951,66392,6050-10,-23.7505945,-46.677605,2025-08-15T12:00:18Z,,,,,
367932,2025-08-15 09:01:02.828951,66143,6050-10,-23.7505945,-46.677605,2025-08-15T12:00:38Z,,,,,
367933,2025-08-15 09:01:02.828951,31180,4310-21,-23.545828,-46.6312175,2025-08-15T12:00:51Z,,,,,
367934,2025-08-15 09:01:02.828951,75415,857C-10,-23.63820725,-46.6580105,2025-08-15T12:00:49Z,,,,,
367935,2025-08-15 09:01:02.828951,75418,857C-10,-23.647962,-46.758123499999996,2025-08-15T12:00:19Z,,,,,
367936,2025-08-15 09:01:02.828951,75425,857C-10,-23.646051125,-46.709631375,2025-08-15T12:00:25Z,,,,,
367937,2025-08-15 09:01:02.828951,75424,857C-10,-23.63672,-46.6414685,2025-08-15T12:00:26Z,,,,,
367938,2025-08-15 09:01:02.828951,75459,857C-10,-23.630613,-46.6686305,2025-08-15T12:00:30Z,,,,,
367939,2025-08-15 09:01:02.828951,32260,3901-10,-23.5129855,-46.516172999999995,2025-08-15T12:00:34Z,,,,,
